review_text,compound,positive,negative,neutral,sentiment
"Per usual the Pixel Pro did not disappoint! Camera quality is top tier, it charges quickly and the battery life lasts at least a day and a half honestly. The design of the phone is sleek and slender which gives it a modern day feel and it’s extremely lightweight and easy to hold. The value for this phone is fair considering I-phones costs are way higher I feel you aren’t compromising on quality even with the more affordable price. It’s extremely user friendly especially for business if you use google as your main operating system. Highly Recommend! Its overall use is great and affordability really helps as well!",0.9805,0.25,0.017,0.733,Positive
"This Google Pixel 9 Pro has blown my mind. I’m not normally an Android user but this Google phone performance is top notch. It is extremely fast, sleek, holds a long charge and takes amazing photos. I would recommend this phone to anyone that has a preference to an android and to be honest even iPhone users. There are so many amazing features on this device a couple include 8k video,night sight video and video boost. This phone is definitely amazing quality.",0.9878,0.321,0.0,0.679,Positive
"I’ve been using the Google Pixel 9 Pro for a few days now, and I have to say, I’m really impressed! The performance is smooth and snappy—no lag at all, even when I have tons of apps open. It honestly feels just as fast as the iPhone, which I wasn’t expecting.
The battery life is also pretty solid. I’m easily getting through a full day with normal use, though I think the iPhone might have a bit of an edge if you’re a heavy user. As for durability, the Pixel 9 Pro feels well-built and sturdy in hand, but I still feel like my old iPhone could handle drops a little better, so I’ll probably keep a case on it. The camera quality is where the Pixel 9 Pro really shines! The photos are sharp, colors are beautiful, and it’s especially good in low light. Google’s software really does some magic here—it’s honestly as good as, if not better than, the iPhone in a lot of situations. One thing I appreciate is the user interface. The Android experience on the Pixel 9 Pro feels super clean and customizable. I know some people prefer iOS for its simplicity, but I actually enjoy the flexibility of Android. Overall, if you’re thinking of trying something new or switching from iPhone, the Pixel 9 Pro is definitely worth a look.",0.996,0.259,0.019,0.722,Positive
"I've been a fan of Google Pixel. I've been using Pixel 8 pro and it's been working well. The Pixel 9 pro is faster and has better performance than the pixel 8 pro. The battery life is a little bit better on the pixel 9 pro. The frame is glossy metal and it feels more premium than the pixel 8 pro. The camera has been improved even though there's still some space for improvement. Overall, it's a good phone with tons of customization if you're into it and a tech guru.",0.9531,0.204,0.0,0.796,Positive
"The Google Pixel 9 Pro is phenomenal! Its camera quality is second to none, taking stunning photos even in low light. The vibrant display with a smooth refresh rate makes watching videos a joy, and the battery easily lasts all day. With flawless performance and instant updates, this is the best Android experience ever. Stylish and well-made design, very easy to use. Comes with a charger. These phones are durable.",0.9538,0.248,0.052,0.7,Positive
"This mobile device demonstrates remarkable capabilities, garnering immense appreciation from my daughter, who expresses a marked preference for it over her previous Samsung device. Notably, the battery life exhibits exceptional longevity, ensuring extended periods of usage without the need for frequent charging. Furthermore, the device's swift performance and superior camera quality, which consistently produces impeccable images, are highly commendable. Additionally, the phone's dimensions are ideally suited for comfortable handling, avoiding any unwieldy bulkiness.",0.9517,0.235,0.028,0.737,Positive
"I love the Pixel 9 Pro. This phone is amazing and has some excellent features like adding people to your photo, or yourself with the add me feature. It is easy to use. The camera has excellent quality. I love how customizable it is. The battery last longer than my old phone. It is a but heavier but feels sturdy and durable. The design is sleek and the screen is super clear. I absolutely recommend this phone and look forward to using it long term. Thank you!",0.9834,0.311,0.0,0.689,Positive
The durability of the phone is awesome. It is something different than my one plus phone. The battery life lasts longer than my previous phones. The performance of the phone is faster and more reliable. The camera quality is 10x's better than an iPhone. The user interface is pretty straightforward. The only thing I do not like is that they don't have the SD memory card slot. Yet I can deal with it.,0.8438,0.129,0.027,0.845,Positive
This phones camera is so beautiful and clear! The capacity of things this phone can do will have me talking forever! It’s nice and durable and the battery life is everything ! I literally only had to charge this phone once in 72hours. The front camera is very clear and high tech. You can def tell from its high quality engineering that it’s built to last! THANKS INFLUENSTER!!,0.9602,0.231,0.0,0.769,Positive
I have an iPhone 13 Pro Max so far the video is very high quality it performs fast like moving between apps I hand no issues connecting this phone to any provider bc it’s unlocked it’s easy to use for those who are not tech savvy.,0.7506,0.169,0.043,0.787,Positive
"The Google pixel 9 pro comes with some unique features.  

 You can setup a bedtime routine and it will let you know when you cough or snore at night. 

There is a battery management where it tracks what apps you use and helps to conserve battery life. 

You can merge 2 pictures together if you are missing 1 person behind the camera and want them to join in after. 

There is a temperature app where you can sense temperature around you, on food,  or yourself.  It's not the most accurate,  but is pretty useful to estimate. 

Great slim design.  Nice vivid colors and sound.",0.9659,0.194,0.014,0.792,Positive
"OMG I am absolutely flabbergasted at this Google Pixel 9 pro in Obsidian. I am still pinching myself what an amazing phone I was given to to test out. I wanna talk about some specifications about this awesome hardware . It's 6.3 inches long, the OLED display is bright and vibrant. It has a front facing and rear facing camera that have 50 megapixels so the images come out super sharp and clear. The cameras also ultra wide, which are great for scenic pictures if you like taking photos of the outdoors as much as I do.it was released in 2024 so this is a newest model of the Google Pixel 9 Pro. It's got a great weight to it without being heavy. It has a gorgeous large screen and like I mentioned the camera is stunning. The design is sleek. The quality is excellent. It has a very premium feel to it. It does come in four colors beside the obsidian one that I received, which is a beautiful, dark, grayish black. It's in nice polished aluminum frame that you would definitely want to get a case to protect From scratches. The Google Pixel 9 Pro is a fantastic smartphone. I am sure the performance will not disappoint. I would recommend this to my friends and family.",0.9965,0.283,0.009,0.708,Positive
"I was very excited about the Google Pixel 9 Pro😊 Everything about it feels well-designed. But let me just be upfront this phone isn’t super light, so if you prefer really lightweight phones, you might notice it right away. For me it wasn’t a dealbreaker, but it’s something to keep in mind. The design is absolutely gorgeous. It’s got a sleek aluminum frame and a frosted glass back that feels smooth and expensive. The camera, though, is pretty big, so if you’re not used to having a larger camera module on the back, it might take a little getting used to. At first, I kept noticing it when I held the phone, but now I don’t even think about it. The screen is great!! It’s bright, colorful, and super sharp. The phone is also really sensitive to the touch, which I absolutely love. Performance-wise, it’s fast. It handles everything I throw at it, from switching between apps to watching YouTube and even gaming a little. I’m not a tech expert, but I’ve had no issues with speed or lag it just works smoothly. Setting it up was also ridiculously easy. I connected it to my Google account, and all my apps, contacts, and even my photos backed up and loaded onto the phone almost instantly. The cameras are amazing! The main camera is 50 megapixels, and it takes the clearest, sharpest photos I’ve seen on any phone. There’s also an ultrawide lens for group shots or landscapes and a telephoto lens that lets you zoom in without losing quality. The camera setup is big, like I mentioned earlier, but it’s totally worth it for the photo quality. The battery life is solid. It gets through a full day easily. Charging is pretty quick, though not the fastest compared to other brands. Still I never feel like I’m stuck waiting for it to charge. Durability is pretty decent, too. The glass back feels premium, but it might be prone to cracks if dropped, so I’d definitely recommend getting a case. It’s not super light, the camera bump might take some getting used to, and the glass back means you’ll probably want a case but everything else makes up for it. This phone is fast, the cameras are stunning, the setup is ridiculously easy, and it’s packed with features that actually feel useful. I am happy with this upgrade!😊",0.9985,0.229,0.031,0.74,Positive
